,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Valid,Invalid,StimPresented,PressCorrect,ResponseMatrix,ActualKeyPressed,Accuracy,RT,FeedbackType,runStart,ImagePresent,StimTime,RespOnset,AccCount,subject,StimRep,StimType
0,0,APRespITI,2,1,0,0,0,1,0,3,k,3,0,0,,0,3590,1.49E+12,1.49E+12,,0,10,0,3
1,1,APResp,2,2,1,1,0,1,0,1,a,1,a,1,520,1,3590,1.49E+12,1.49E+12,1.49E+12,1,10,2,1
2,2,APRespITI,2,3,2,2,0,1,0,2,s,2,0,0,520,0,3590,1.49E+12,1.49E+12,1.49E+12,1,10,2,2
3,3,APRespITI,2,4,3,3,0,1,0,4,l,4,0,0,520,0,3590,1.49E+12,1.49E+12,1.49E+12,1,10,2,4
4,4,APResp,2,5,4,4,0,1,0,1,a,1,a,1,419,1,3590,1.49E+12,1.49E+12,1.49E+12,2,10,2,1
5,5,APResp,2,6,5,5,0,0,1,16,k,3,k,1,594,1,3590,1.49E+12,1.49E+12,1.49E+12,3,10,2,4
6,6,APResp,2,7,6,6,0,1,0,3,k,3,k,1,498,1,3590,1.49E+12,1.49E+12,1.49E+12,4,10,2,3
7,7,APResp,2,8,7,7,0,0,1,7,l,4,l,1,567,1,3590,1.49E+12,1.49E+12,1.49E+12,5,10,2,1
8,8,APResp,2,9,8,8,0,1,0,2,s,2,s,1,518,1,3590,1.49E+12,1.49E+12,1.49E+12,6,10,2,2
9,9,APResp,2,10,9,9,0,1,0,3,k,3,k,1,606,1,3590,1.49E+12,1.49E+12,1.49E+12,7,10,2,3
10,10,APResp,2,11,10,10,0,0,1,10,l,4,l,1,428,1,3590,1.49E+12,1.49E+12,1.49E+12,8,10,2,2
11,11,APResp,2,12,11,11,0,1,0,1,a,1,a,1,426,1,3590,1.49E+12,1.49E+12,1.49E+12,9,10,2,1
12,12,APResp,2,13,12,12,0,0,1,5,s,2,s,1,506,1,3590,1.49E+12,1.49E+12,1.49E+12,10,10,2,1
13,13,APResp,2,14,13,13,0,1,0,2,s,2,s,1,408,1,3590,1.49E+12,1.49E+12,1.49E+12,11,10,2,2
14,14,APResp,2,15,14,14,0,0,1,14,a,1,a,1,519,1,3590,1.49E+12,1.49E+12,1.49E+12,12,10,2,4
15,15,APResp,2,16,15,15,0,1,0,2,s,2,s,1,558,1,3590,1.49E+12,1.49E+12,1.49E+12,13,10,2,2
16,16,APResp,2,17,16,16,0,1,0,4,l,4,l,1,460,1,3590,1.49E+12,1.49E+12,1.49E+12,14,10,2,4
17,17,APResp,2,18,17,17,0,1,0,2,s,2,s,1,643,1,3590,1.49E+12,1.49E+12,1.49E+12,15,10,2,2
18,18,APResp,2,19,18,18,0,1,0,3,k,3,k,1,595,1,3590,1.49E+12,1.49E+12,1.49E+12,16,10,2,3
19,19,APResp,2,20,19,19,0,1,0,4,l,4,l,1,496,1,3590,1.49E+12,1.49E+12,1.49E+12,17,10,2,4
20,20,APResp,2,21,20,20,0,1,0,3,k,3,l,0,543,2,3590,1.49E+12,1.49E+12,1.49E+12,17,10,2,3
21,21,APResp,2,22,21,21,0,1,0,4,l,4,l,1,519,1,3590,1.49E+12,1.49E+12,1.49E+12,18,10,2,4
22,22,APRespITI,2,23,22,22,0,1,0,3,k,3,0,0,519,0,3590,1.49E+12,1.49E+12,1.49E+12,18,10,2,3
23,23,APResp,2,24,23,23,0,1,0,4,l,4,l,1,443,1,3590,1.49E+12,1.49E+12,1.49E+12,19,10,2,4
24,24,APResp,2,25,24,24,0,0,1,12,s,2,s,1,699,1,3590,1.49E+12,1.49E+12,1.49E+12,20,10,2,3
25,25,APResp,2,26,25,25,0,1,0,4,l,4,l,1,544,1,3590,1.49E+12,1.49E+12,1.49E+12,21,10,2,4
26,26,APResp,2,27,26,26,0,1,0,2,s,2,s,1,648,1,3590,1.49E+12,1.49E+12,1.49E+12,22,10,2,2
27,27,APResp,2,28,27,27,0,0,1,6,k,3,k,1,672,1,3590,1.49E+12,1.49E+12,1.49E+12,23,10,2,1
28,28,APResp,2,29,28,28,0,1,0,1,a,1,a,1,558,1,3590,1.49E+12,1.49E+12,1.49E+12,24,10,2,1
29,29,APResp,2,30,29,29,0,0,1,15,s,2,s,1,629,1,3590,1.49E+12,1.49E+12,1.49E+12,25,10,2,4
30,30,APResp,2,31,30,30,0,1,0,1,a,1,a,1,541,1,3590,1.49E+12,1.49E+12,1.49E+12,26,10,2,1
31,31,APResp,2,32,31,31,0,1,0,3,k,3,k,1,650,1,3590,1.49E+12,1.49E+12,1.49E+12,27,10,2,3
32,32,APResp,2,33,32,32,0,1,0,2,s,2,s,1,641,1,3590,1.49E+12,1.49E+12,1.49E+12,28,10,2,2
