,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,CongruentCounter,IncongruentCounter,StimPresented,StimProbAll,TrialType,CongruentNumber,IncongruentNumber,PressCorrect,ResponseMatrix,ActualKeyPressed,Accuracy,RT,FeedbackType,runStart,ImagePresent,StimTime,RespOnset,AccCount,subject,StimRep,Sequential
0,0,SCTResp,2,1,0,0,0,1,0,2,5,2,1,,z,1,z,1,847,0,9241,1.49E+12,1.49E+12,1.49E+12,1,10,0,0
1,1,SCTResp,2,2,1,1,0,1,0,3,2,2,2,,n,3,m,0,655,0,9241,1.49E+12,1.49E+12,1.49E+12,1,10,0,0
2,2,SCTResp,2,3,2,2,0,0,1,4,7,1,2,12,z,1,z,1,900,0,9241,1.49E+12,1.49E+12,1.49E+12,2,10,2,1
3,3,SCTResp,2,4,3,3,0,0,1,2,1,1,2,14,n,3,n,1,669,0,9241,1.49E+12,1.49E+12,1.49E+12,3,10,0,0
4,4,SCTResp,2,5,4,4,0,1,0,1,4,2,3,14,x,2,x,1,630,0,9241,1.49E+12,1.49E+12,1.49E+12,4,10,2,2
5,5,SCTResp,2,6,5,5,0,0,1,2,1,1,3,6,m,4,n,0,708,0,9241,1.49E+12,1.49E+12,1.49E+12,4,10,2,1
6,6,SCTResp,2,7,6,6,0,1,0,1,4,2,2,6,n,3,n,1,605,0,9241,1.49E+12,1.49E+12,1.49E+12,5,10,2,2
7,7,SCTResp,2,8,7,7,0,0,1,4,7,1,2,8,z,1,z,1,700,0,9241,1.49E+12,1.49E+12,1.49E+12,6,10,2,1
8,8,SCTResp,2,9,8,8,0,1,0,2,5,2,4,8,m,4,m,1,505,0,9241,1.49E+12,1.49E+12,1.49E+12,7,10,2,2
9,9,SCTResp,2,10,9,9,0,1,0,4,3,2,2,8,n,3,n,1,514,0,9241,1.49E+12,1.49E+12,1.49E+12,8,10,0,0
10,10,SCTResp,2,11,10,10,0,1,0,1,4,2,1,8,z,1,z,1,538,0,9241,1.49E+12,1.49E+12,1.49E+12,9,10,0,0
11,11,SCTResp,2,12,11,11,0,0,1,1,0,1,1,9,m,4,m,1,531,0,9241,1.49E+12,1.49E+12,1.49E+12,10,10,2,1
12,12,SCTResp,2,13,12,12,0,1,0,4,3,2,3,9,x,2,n,0,755,0,9241,1.49E+12,1.49E+12,1.49E+12,10,10,2,2
13,13,SCTResp,2,14,13,13,0,0,1,3,6,1,3,5,n,3,n,1,701,0,9241,1.49E+12,1.49E+12,1.49E+12,11,10,2,1
14,14,SCTResp,2,15,14,14,0,1,0,4,3,2,1,5,z,1,z,1,537,0,9241,1.49E+12,1.49E+12,1.49E+12,12,10,2,2
15,15,SCTResp,2,16,15,15,0,0,1,3,6,1,1,13,x,2,x,1,820,0,9241,1.49E+12,1.49E+12,1.49E+12,13,10,2,1
16,16,SCTResp,2,17,16,16,0,1,0,3,2,2,3,13,x,2,x,1,660,0,9241,1.49E+12,1.49E+12,1.49E+12,14,10,2,2
17,17,SCTResp,2,18,17,17,0,1,0,3,2,2,4,13,m,4,m,1,820,0,9241,1.49E+12,1.49E+12,1.49E+12,15,10,0,0
18,18,SCTResp,2,19,18,18,0,0,1,4,7,1,4,9,m,4,m,1,514,0,9241,1.49E+12,1.49E+12,1.49E+12,16,10,2,1
19,19,SCTResp,2,20,19,19,0,0,1,3,6,1,4,5,n,3,n,1,754,0,9241,1.49E+12,1.49E+12,1.49E+12,17,10,0,0
20,20,SCTResp,2,21,20,20,0,1,0,2,5,2,2,5,n,3,n,1,600,0,9241,1.49E+12,1.49E+12,1.49E+12,18,10,2,2
21,21,SCTResp,2,22,21,21,0,0,1,4,7,1,2,7,x,2,z,0,838,0,9241,1.49E+12,1.49E+12,1.49E+12,18,10,2,1
22,22,SCTResp,2,23,22,22,0,1,0,3,2,2,4,7,m,4,m,1,834,0,9241,1.49E+12,1.49E+12,1.49E+12,19,10,2,2
23,23,SCTResp,2,24,23,23,0,1,0,4,3,2,2,7,n,3,n,1,697,0,9241,1.49E+12,1.49E+12,1.49E+12,20,10,0,0
24,24,SCTResp,2,25,24,24,0,1,0,3,2,2,4,7,m,4,m,1,592,0,9241,1.49E+12,1.49E+12,1.49E+12,21,10,0,0
25,25,SCTResp,2,26,25,25,0,0,1,1,0,1,4,5,n,3,n,1,680,0,9241,1.49E+12,1.49E+12,1.49E+12,22,10,2,1
26,26,SCTResp,2,27,26,26,0,1,0,2,5,2,3,5,x,2,x,1,808,0,9241,1.49E+12,1.49E+12,1.49E+12,23,10,2,2
27,27,SCTResp,2,28,27,27,0,0,1,4,7,1,3,6,m,4,m,1,570,0,9241,1.49E+12,1.49E+12,1.49E+12,24,10,2,1
28,28,SCTResp,2,29,28,28,0,0,1,2,1,1,3,16,m,4,m,1,584,0,9241,1.49E+12,1.49E+12,1.49E+12,25,10,0,0
29,29,SCTResp,2,30,29,29,0,0,1,1,0,1,3,15,z,1,z,1,635,0,9241,1.49E+12,1.49E+12,1.49E+12,26,10,0,0
30,30,SCTResp,2,31,30,30,0,0,1,3,6,1,3,12,z,1,z,1,529,0,9241,1.49E+12,1.49E+12,1.49E+12,27,10,0,0
31,31,SCTResp,2,32,31,31,0,0,1,2,1,1,3,9,m,4,m,1,622,0,9241,1.49E+12,1.49E+12,1.49E+12,28,10,0,0
32,32,SCTResp,2,33,32,32,0,0,1,1,0,1,3,14,n,3,n,1,799,0,9241,1.49E+12,1.49E+12,1.49E+12,29,10,0,0
33,33,SCTResp,2,34,33,33,0,0,1,1,0,1,3,16,m,4,m,1,539,0,9241,1.49E+12,1.49E+12,1.49E+12,30,10,0,0
34,34,SCTResp,2,35,34,34,0,0,1,1,0,1,3,13,x,2,x,1,648,0,9241,1.49E+12,1.49E+12,1.49E+12,31,10,0,0
35,35,SCTResp,2,36,35,35,0,1,0,1,4,2,4,13,m,4,m,1,607,0,9241,1.49E+12,1.49E+12,1.49E+12,32,10,2,2
36,36,SCTResp,2,37,36,36,0,0,1,3,6,1,4,7,x,2,x,1,677,0,9241,1.49E+12,1.49E+12,1.49E+12,33,10,2,1
37,37,SCTResp,2,38,37,37,0,1,0,3,2,2,1,7,z,1,z,1,707,0,9241,1.49E+12,1.49E+12,1.49E+12,34,10,2,2
38,38,SCTResp,2,39,38,38,0,1,0,1,4,2,3,7,x,2,x,1,631,0,9241,1.49E+12,1.49E+12,1.49E+12,35,10,0,0
39,39,SCTResp,2,40,39,39,0,0,1,2,1,1,3,10,x,2,x,1,739,0,9241,1.49E+12,1.49E+12,1.49E+12,36,10,2,1
40,40,SCTResp,2,41,40,40,0,0,1,3,6,1,3,13,x,2,x,1,584,0,9241,1.49E+12,1.49E+12,1.49E+12,37,10,0,0
41,41,SCTResp,2,42,41,41,0,1,0,4,3,2,1,13,z,1,z,1,738,0,9241,1.49E+12,1.49E+12,1.49E+12,38,10,2,2
42,42,SCTResp,2,43,42,42,0,0,1,3,6,1,1,10,x,2,x,1,877,0,9241,1.49E+12,1.49E+12,1.49E+12,39,10,2,1
43,43,SCTResp,2,44,43,43,0,0,1,4,7,1,1,16,m,4,m,1,586,0,9241,1.49E+12,1.49E+12,1.49E+12,40,10,0,0
44,44,SCTResp,2,45,44,44,0,0,1,2,1,1,1,8,z,1,z,1,694,0,9241,1.49E+12,1.49E+12,1.49E+12,41,10,0,0
45,45,SCTResp,2,46,45,45,0,0,1,4,7,1,1,10,x,2,x,1,617,0,9241,1.49E+12,1.49E+12,1.49E+12,42,10,0,0
46,46,SCTResp,2,47,46,46,0,1,0,1,4,2,2,10,n,3,n,1,453,0,9241,1.49E+12,1.49E+12,1.49E+12,43,10,2,2
47,47,SCTResp,2,48,47,47,0,0,1,3,6,1,2,15,z,1,z,1,607,0,9241,1.49E+12,1.49E+12,1.49E+12,44,10,2,1
48,48,SCTResp,2,49,48,48,0,0,1,1,0,1,2,12,z,1,z,1,663,0,9241,1.49E+12,1.49E+12,1.49E+12,45,10,0,0
49,49,SCTResp,2,50,49,49,0,1,0,3,2,2,1,12,z,1,z,1,573,0,9241,1.49E+12,1.49E+12,1.49E+12,46,10,2,2
50,50,SCTResp,2,51,50,50,0,1,0,1,4,2,2,12,n,3,n,1,702,0,9241,1.49E+12,1.49E+12,1.49E+12,47,10,0,0
51,51,SCTResp,2,52,51,51,0,1,0,3,2,2,1,12,z,1,z,1,658,0,9241,1.49E+12,1.49E+12,1.49E+12,48,10,0,0
52,52,SCTResp,2,53,52,52,0,0,1,1,0,1,1,14,n,3,n,1,820,0,9241,1.49E+12,1.49E+12,1.49E+12,49,10,2,1
