,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,CongruentCounter,IncongruentCounter,StimPresented,StimProbAll,TrialType,StroopNumber,PressCorrect,ResponseMatrix,ActualKeyPressed,Accuracy,RT,FeedbackType,runStart,ImagePresent,StimTime,ColorTime,RespOnset,AccCount,subject,StimRep,Sequential
0,0,SCTResp,1,1,0,0,0,0,1,3,6,1,14,n,3,n,1,458,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,1,1,0,0
1,1,SCTResp,1,2,1,1,0,0,1,4,3,1,10,x,2,x,1,485,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,2,1,2,0
2,2,SCTResp,1,3,2,2,0,1,0,1,4,2,2,n,3,n,1,503,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,3,1,2,2
3,3,SCTResp,1,4,3,3,0,0,1,1,0,1,6,m,4,m,1,477,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,4,1,2,1
4,4,SCTResp,1,5,4,4,0,0,1,2,1,1,10,x,2,x,1,523,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,5,1,2,0
5,5,SCTResp,1,6,5,5,0,0,1,4,7,1,6,m,4,m,1,414,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,6,1,2,0
6,6,SCTResp,1,7,6,6,0,0,1,1,0,1,14,n,3,n,1,536,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,7,1,2,0
7,7,SCTResp,1,8,7,7,0,0,1,4,3,1,10,x,2,x,1,447,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,8,1,2,0
8,8,SCTResp,1,9,8,8,0,1,0,4,7,2,2,n,3,n,1,323,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,9,1,2,2
9,9,SCTResp,1,10,9,9,0,0,1,3,6,1,12,z,1,z,1,500,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,10,1,2,1
10,10,SCTResp,1,11,10,10,0,0,1,1,0,1,6,m,4,m,1,591,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,11,1,2,0
11,11,SCTResp,1,12,11,11,0,1,0,4,7,2,3,x,2,x,1,522,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,12,1,2,2
12,12,SCTResp,1,13,12,12,0,0,1,2,1,1,6,m,4,m,1,461,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,13,1,2,1
13,13,SCTResp,1,14,13,13,0,0,1,4,7,1,10,x,2,x,1,520,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,14,1,2,0
14,14,SCTResp,1,15,14,14,0,1,0,2,5,2,4,m,4,m,1,445,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,15,1,2,2
15,15,SCTResp,1,16,15,15,0,1,0,3,6,2,4,m,4,m,1,383,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,16,1,2,0
16,16,SCTResp,1,17,16,16,0,0,1,1,0,1,12,z,1,z,1,427,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,17,1,2,1
17,17,SCTResp,1,18,17,17,0,0,1,2,1,1,14,n,3,n,1,797,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,18,1,2,0
18,18,SCTResp,1,19,18,18,0,1,0,4,3,2,3,x,2,x,1,495,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,19,1,2,2
19,19,SCTResp,1,20,19,19,0,0,1,2,1,1,10,x,2,x,1,541,0,30418,1.51E+12,1.51E+12,1.51E+12,1.51E+12,20,1,2,1
