,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Valid,Invalid,Stimuli,StimPresented,PressCorrect,ResponseMatrix,ActualKeyPressed,Accuracy,RT,FeedbackType,runStart,ImagePresent,StimTime,RespOnset,AccCount,subject,StimRep
0,1,APRespITI,1,1,0,0,0,1,0,3,3,k,3,0,0,,0,63065,1.51E+12,1.51E+12,,0,1,0
1,2,APRespITI,1,2,1,1,0,1,0,2,2,s,2,0,0,,0,63065,1.51E+12,1.51E+12,,0,1,2
2,3,APResp,1,3,2,2,0,0,1,1,7,l,4,l,1,608,1,63065,1.51E+12,1.51E+12,1.51E+12,1,1,2
3,4,APResp,1,4,3,3,0,1,0,3,3,k,3,k,1,454,1,63065,1.51E+12,1.51E+12,1.51E+12,2,1,2
4,5,APResp,1,5,4,4,0,1,0,1,1,a,1,a,1,642,1,63065,1.51E+12,1.51E+12,1.51E+12,3,1,2
5,6,APResp,1,6,5,5,0,1,0,3,3,k,3,a,0,626,2,63065,1.51E+12,1.51E+12,1.51E+12,3,1,2
6,7,APRespITI,1,7,6,6,0,1,0,2,2,s,2,0,0,626,0,63065,1.51E+12,1.51E+12,1.51E+12,3,1,2
7,8,APResp,1,8,7,7,0,1,0,1,1,a,1,a,1,564,1,63065,1.51E+12,1.51E+12,1.51E+12,4,1,2
8,9,APResp,1,9,8,8,0,1,0,3,3,k,3,k,1,714,1,63065,1.51E+12,1.51E+12,1.51E+12,5,1,2
9,10,APResp,1,10,9,9,0,0,1,1,6,k,3,k,1,455,1,63065,1.51E+12,1.51E+12,1.51E+12,6,1,2
10,11,APResp,1,11,10,10,0,1,0,4,4,l,4,l,1,533,1,63065,1.51E+12,1.51E+12,1.51E+12,7,1,2
11,12,APResp,1,12,11,11,0,1,0,3,3,k,3,k,1,559,1,63065,1.51E+12,1.51E+12,1.51E+12,8,1,2
12,13,APResp,1,13,12,12,0,1,0,1,1,a,1,a,1,677,1,63065,1.51E+12,1.51E+12,1.51E+12,9,1,2
13,14,APResp,1,14,13,13,0,1,0,4,4,l,4,l,1,422,1,63065,1.51E+12,1.51E+12,1.51E+12,10,1,2
14,15,APResp,1,15,14,14,0,0,1,4,14,a,1,a,1,657,1,63065,1.51E+12,1.51E+12,1.51E+12,11,1,2
15,16,APResp,1,16,15,15,0,1,0,2,2,s,2,s,1,376,1,63065,1.51E+12,1.51E+12,1.51E+12,12,1,2
16,17,APResp,1,17,16,16,0,1,0,1,1,a,1,a,1,533,1,63065,1.51E+12,1.51E+12,1.51E+12,13,1,2
17,18,APResp,1,18,17,17,0,0,1,3,11,a,1,a,1,430,1,63065,1.51E+12,1.51E+12,1.51E+12,14,1,2
18,19,APResp,1,19,18,18,0,1,0,1,1,a,1,a,1,563,1,63065,1.51E+12,1.51E+12,1.51E+12,15,1,2
19,20,APResp,1,20,19,19,0,1,0,4,4,l,4,l,1,438,1,63065,1.51E+12,1.51E+12,1.51E+12,16,1,2
20,21,APResp,1,21,20,20,0,1,0,1,1,a,1,l,0,419,2,63065,1.51E+12,1.51E+12,1.51E+12,16,1,2
21,22,APResp,1,22,21,21,0,1,0,4,4,l,4,l,1,485,1,63065,1.51E+12,1.51E+12,1.51E+12,17,1,2
22,23,APResp,1,23,22,22,0,1,0,2,2,s,2,s,1,361,1,63065,1.51E+12,1.51E+12,1.51E+12,18,1,2
23,24,APResp,1,24,23,23,0,1,0,3,3,k,3,k,1,579,1,63065,1.51E+12,1.51E+12,1.51E+12,19,1,2
24,25,APResp,1,25,24,24,0,1,0,1,1,a,1,k,0,485,2,63065,1.51E+12,1.51E+12,1.51E+12,19,1,2
25,26,APResp,1,26,25,25,0,1,0,4,4,l,4,l,1,547,1,63065,1.51E+12,1.51E+12,1.51E+12,20,1,2
26,27,APResp,1,27,26,26,0,0,1,2,10,l,4,l,1,408,1,63065,1.51E+12,1.51E+12,1.51E+12,21,1,2
27,28,APResp,1,28,27,27,0,0,1,3,12,s,2,s,1,377,1,63065,1.51E+12,1.51E+12,1.51E+12,22,1,2
28,29,APResp,1,29,28,28,0,1,0,4,4,l,4,l,1,531,1,63065,1.51E+12,1.51E+12,1.51E+12,23,1,2
29,30,APResp,1,30,29,29,0,1,0,2,2,s,2,s,1,532,1,63065,1.51E+12,1.51E+12,1.51E+12,24,1,2
30,31,APResp,1,31,30,30,0,1,0,3,3,k,3,k,1,515,1,63065,1.51E+12,1.51E+12,1.51E+12,25,1,2
31,32,APResp,1,32,31,31,0,1,0,1,1,a,1,a,1,610,1,63065,1.51E+12,1.51E+12,1.51E+12,26,1,2
32,33,APResp,1,33,32,32,0,1,0,2,2,s,2,s,1,463,1,63065,1.51E+12,1.51E+12,1.51E+12,27,1,2
33,34,APResp,1,34,33,33,0,1,0,3,3,k,3,k,1,563,1,63065,1.51E+12,1.51E+12,1.51E+12,28,1,2
34,35,APResp,1,35,34,34,0,1,0,1,1,a,1,a,1,531,1,63065,1.51E+12,1.51E+12,1.51E+12,29,1,2
35,36,APResp,1,36,35,35,0,0,1,3,13,l,4,l,1,484,1,63065,1.51E+12,1.51E+12,1.51E+12,30,1,2
36,37,APResp,1,37,36,36,0,1,0,3,3,k,3,k,1,485,1,63065,1.51E+12,1.51E+12,1.51E+12,31,1,2
37,38,APResp,1,38,37,37,0,0,1,2,9,k,3,k,1,507,1,63065,1.51E+12,1.51E+12,1.51E+12,32,1,2
38,39,APResp,1,39,38,38,0,1,0,2,2,s,2,s,1,375,1,63065,1.51E+12,1.51E+12,1.51E+12,33,1,2
39,40,APResp,1,40,39,39,0,0,1,4,15,s,2,s,1,641,1,63065,1.51E+12,1.51E+12,1.51E+12,34,1,2
40,41,APResp,1,41,40,40,0,1,0,4,4,l,4,l,1,500,1,63065,1.51E+12,1.51E+12,1.51E+12,35,1,2
41,42,APResp,1,42,41,41,0,1,0,2,2,s,2,s,1,657,1,63065,1.51E+12,1.51E+12,1.51E+12,36,1,2
42,43,APResp,1,43,42,42,0,1,0,3,3,k,3,k,1,580,1,63065,1.51E+12,1.51E+12,1.51E+12,37,1,2
43,44,APResp,1,44,43,43,0,1,0,2,2,s,2,s,1,470,1,63065,1.51E+12,1.51E+12,1.51E+12,38,1,2
44,45,APResp,1,45,44,44,0,0,1,1,5,s,2,s,1,611,1,63065,1.51E+12,1.51E+12,1.51E+12,39,1,2
45,46,APResp,1,46,45,45,0,1,0,4,4,l,4,l,1,532,1,63065,1.51E+12,1.51E+12,1.51E+12,40,1,2
46,47,APResp,1,47,46,46,0,0,1,4,16,k,3,k,1,548,1,63065,1.51E+12,1.51E+12,1.51E+12,41,1,2
47,48,APResp,1,48,47,47,0,1,0,3,3,k,3,k,1,547,1,63065,1.51E+12,1.51E+12,1.51E+12,42,1,2
48,49,APResp,1,49,48,48,0,1,0,4,4,l,4,l,1,657,1,63065,1.51E+12,1.51E+12,1.51E+12,43,1,2
49,50,APResp,1,50,49,49,0,0,1,2,8,a,1,a,1,646,1,63065,1.51E+12,1.51E+12,1.51E+12,44,1,2
50,51,APResp,1,51,50,50,0,1,0,2,2,s,2,s,1,502,1,63065,1.51E+12,1.51E+12,1.51E+12,45,1,2
51,52,APResp,1,52,51,51,0,1,0,1,1,a,1,a,1,532,1,63065,1.51E+12,1.51E+12,1.51E+12,46,1,2
52,53,APResp,1,53,52,52,0,1,0,4,4,l,4,l,1,563,1,63065,1.51E+12,1.51E+12,1.51E+12,47,1,2
53,54,APResp,1,54,53,53,0,1,0,3,3,k,3,k,1,469,1,63065,1.51E+12,1.51E+12,1.51E+12,48,1,2
54,55,APResp,1,55,54,54,0,1,0,4,4,l,4,l,1,596,1,63065,1.51E+12,1.51E+12,1.51E+12,49,1,2
55,56,APResp,1,56,55,55,0,1,0,2,2,s,2,s,1,564,1,63065,1.51E+12,1.51E+12,1.51E+12,50,1,2
56,57,APResp,1,57,56,56,0,1,0,1,1,a,1,a,1,532,1,63065,1.51E+12,1.51E+12,1.51E+12,51,1,2
57,58,APResp,1,58,57,57,0,1,0,4,4,l,4,l,1,517,1,63065,1.51E+12,1.51E+12,1.51E+12,52,1,2
58,59,APResp,1,59,58,58,0,1,0,2,2,s,2,s,1,548,1,63065,1.51E+12,1.51E+12,1.51E+12,53,1,2
59,60,APResp,1,60,59,59,0,1,0,1,1,a,1,a,1,579,1,63065,1.51E+12,1.51E+12,1.51E+12,54,1,2
60,61,APResp,1,61,0,60,1,1,0,1,1,a,1,a,1,501,1,347743,1.51E+12,1.51E+12,1.51E+12,1,1,0
61,62,APResp,1,62,1,61,1,1,0,4,4,l,4,l,1,455,1,347743,1.51E+12,1.51E+12,1.51E+12,2,1,2
62,63,APResp,1,63,2,62,1,1,0,2,2,s,2,s,1,468,1,347743,1.51E+12,1.51E+12,1.51E+12,3,1,2
63,64,APResp,1,64,3,63,1,1,0,1,1,a,1,a,1,390,1,347743,1.51E+12,1.51E+12,1.51E+12,4,1,2
64,65,APResp,1,65,4,64,1,1,0,3,3,k,3,k,1,579,1,347743,1.51E+12,1.51E+12,1.51E+12,5,1,2
65,66,APResp,1,66,5,65,1,0,1,2,10,l,4,l,1,438,1,347743,1.51E+12,1.51E+12,1.51E+12,6,1,2
66,67,APResp,1,67,6,66,1,0,1,3,11,a,1,a,1,531,1,347743,1.51E+12,1.51E+12,1.51E+12,7,1,2
67,68,APResp,1,68,7,67,1,1,0,2,2,s,2,s,1,563,1,347743,1.51E+12,1.51E+12,1.51E+12,8,1,2
68,69,APResp,1,69,8,68,1,0,1,1,6,k,3,k,1,567,1,347743,1.51E+12,1.51E+12,1.51E+12,9,1,2
69,70,APResp,1,70,9,69,1,1,0,3,3,k,3,k,1,630,1,347743,1.51E+12,1.51E+12,1.51E+12,10,1,2
70,71,APResp,1,71,10,70,1,1,0,4,4,l,4,l,1,500,1,347743,1.51E+12,1.51E+12,1.51E+12,11,1,2
71,72,APResp,1,72,11,71,1,1,0,3,3,k,3,k,1,533,1,347743,1.51E+12,1.51E+12,1.51E+12,12,1,2
72,73,APResp,1,73,12,72,1,1,0,1,1,a,1,a,1,487,1,347743,1.51E+12,1.51E+12,1.51E+12,13,1,2
73,74,APResp,1,74,13,73,1,1,0,2,2,s,2,s,1,330,1,347743,1.51E+12,1.51E+12,1.51E+12,14,1,2
74,75,APResp,1,75,14,74,1,1,0,4,4,l,4,l,1,452,1,347743,1.51E+12,1.51E+12,1.51E+12,15,1,2
75,76,APResp,1,76,15,75,1,0,1,3,13,l,4,l,1,469,1,347743,1.51E+12,1.51E+12,1.51E+12,16,1,2
76,77,APResp,1,77,16,76,1,0,1,4,15,s,2,s,1,517,1,347743,1.51E+12,1.51E+12,1.51E+12,17,1,2
77,78,APResp,1,78,17,77,1,1,0,1,1,a,1,a,1,546,1,347743,1.51E+12,1.51E+12,1.51E+12,18,1,2
78,79,APResp,1,79,18,78,1,1,0,2,2,s,2,s,1,392,1,347743,1.51E+12,1.51E+12,1.51E+12,19,1,2
79,80,APResp,1,80,19,79,1,1,0,1,1,a,1,a,1,548,1,347743,1.51E+12,1.51E+12,1.51E+12,20,1,2
80,81,APResp,1,81,20,80,1,1,0,2,2,s,2,s,1,464,1,347743,1.51E+12,1.51E+12,1.51E+12,21,1,2
81,82,APResp,1,82,21,81,1,1,0,3,3,k,3,k,1,556,1,347743,1.51E+12,1.51E+12,1.51E+12,22,1,2
82,83,APRespITI,1,83,22,82,1,1,0,1,1,a,1,0,0,556,0,347743,1.51E+12,1.51E+12,1.51E+12,22,1,2
83,84,APResp,1,84,23,83,1,1,0,4,4,l,4,l,1,437,1,347743,1.51E+12,1.51E+12,1.51E+12,23,1,2
84,85,APResp,1,85,24,84,1,0,1,4,16,k,3,k,1,360,1,347743,1.51E+12,1.51E+12,1.51E+12,24,1,2
85,86,APResp,1,86,25,85,1,1,0,3,3,k,3,k,1,548,1,347743,1.51E+12,1.51E+12,1.51E+12,25,1,2
86,87,APResp,1,87,26,86,1,1,0,1,1,a,1,a,1,485,1,347743,1.51E+12,1.51E+12,1.51E+12,26,1,2
87,88,APResp,1,88,27,87,1,1,0,4,4,l,4,l,1,439,1,347743,1.51E+12,1.51E+12,1.51E+12,27,1,2
88,89,APResp,1,89,28,88,1,1,0,2,2,s,2,s,1,610,1,347743,1.51E+12,1.51E+12,1.51E+12,28,1,2
89,90,APResp,1,90,29,89,1,0,1,2,8,a,1,a,1,376,1,347743,1.51E+12,1.51E+12,1.51E+12,29,1,2
90,91,APResp,1,91,30,90,1,1,0,3,3,k,3,k,1,504,1,347743,1.51E+12,1.51E+12,1.51E+12,30,1,2
91,92,APResp,1,92,31,91,1,1,0,2,2,s,2,s,1,547,1,347743,1.51E+12,1.51E+12,1.51E+12,31,1,2
92,93,APResp,1,93,32,92,1,1,0,1,1,a,1,a,1,423,1,347743,1.51E+12,1.51E+12,1.51E+12,32,1,2
93,94,APResp,1,94,33,93,1,1,0,4,4,l,4,l,1,502,1,347743,1.51E+12,1.51E+12,1.51E+12,33,1,2
94,95,APResp,1,95,34,94,1,1,0,3,3,k,3,k,1,533,1,347743,1.51E+12,1.51E+12,1.51E+12,34,1,2
95,96,APResp,1,96,35,95,1,0,1,2,9,k,3,k,1,487,1,347743,1.51E+12,1.51E+12,1.51E+12,35,1,2
96,97,APResp,1,97,36,96,1,1,0,3,3,k,3,k,1,408,1,347743,1.51E+12,1.51E+12,1.51E+12,36,1,2
97,98,APResp,1,98,37,97,1,1,0,4,4,l,4,l,1,518,1,347743,1.51E+12,1.51E+12,1.51E+12,37,1,2
98,99,APResp,1,99,38,98,1,1,0,1,1,a,1,a,1,564,1,347743,1.51E+12,1.51E+12,1.51E+12,38,1,2
99,100,APResp,1,100,39,99,1,1,0,3,3,k,3,k,1,470,1,347743,1.51E+12,1.51E+12,1.51E+12,39,1,2
100,101,APResp,1,101,40,100,1,0,1,3,12,s,2,s,1,593,1,347743,1.51E+12,1.51E+12,1.51E+12,40,1,2
101,102,APResp,1,102,41,101,1,1,0,2,2,s,2,s,1,541,1,347743,1.51E+12,1.51E+12,1.51E+12,41,1,2
102,103,APResp,1,103,42,102,1,0,1,1,5,s,2,s,1,432,1,347743,1.51E+12,1.51E+12,1.51E+12,42,1,2
