version,subjID,gender,age,ethnicity,race,Mem1,Mem2,Mem3,Mem4,ExplicitMem,Q1_SS_SystematicVariation,"If so, what?",Q2,Q3,Q4,ExplicitTaskAwareness,Q1_SC_SystematicVariation,Q1_SCT_SystematicVariation,Q2_SceneSkyPresence,Q2_SceneColorScheme,Q2_SceneTreeFrequency,Q2_ImageType,Q2_FeatureType,Q2_LightType,Q3_SC_ForcedChoicePerformance,Q3_SCT_ForcedChoicePerformance,Q3_SC1,Q3_SC2,Q3_SC3,Q3_SC4,Q3_SC_ForcedChoicePerformance,Q3_SCT1,Q3_SCT2,Q3_SCT3,Q3_SCT4,Q3_SCT_ForcedChoicePerformance
1,1,Female,23,Non-Hispanic/Latino,White/Caucasian,0,0,1,0,1,1,pictures represented colors,0,1,1,2,0,0,18,91,17,71,85,19,3,1,0,1,1,1,3,0,1,0,0,1
4,2,Female,18,Non-Hispanic/Latino,White/Caucasian,1,0,0,1,2,0,,0,0,0,0,1,0,15,66,52,65,32,51,3,1,0,1,1,1,3,0,1,0,0,1
1,4,Female,18,Non-Hispanic/Latino,Asian,1,1,1,1,4,1,"The skinnier guy was often paired up with the mountains, while the other guy was usually paired with the canyons. I think the tilted house was usually paired with the forest? And the other house was paired with the waterfall. But the pairings were not consistent and therefore not reliable in determining which scene was going to show up. ",1,1,1,3,0,0,52,44,51,46,48,48,3,1,1,1,0,1,3,1,0,0,0,1
4,5,Female,18,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,That each picture only would sometimes match with the second picture.,1,0,0,1,1,0,50,50,38,50,51,51,2,2,0,1,1,0,2,1,0,1,0,2
3,6,Female,21,Non-Hispanic/Latino,White/Caucasian,0,0,0,0,0,0,,0,0,0,0,0,0,49,51,53,50,55,51,2,2,1,1,0,0,2,0,0,1,1,2
3,7,Female,18,Non-Hispanic/Latino,Asian,0,0,0,1,1,0,,0,1,1,2,0,0,50,50,50,50,50,50,4,4,1,1,1,1,4,1,1,1,1,4
3,8,Female,19,Non-Hispanic/Latino,White/Caucasian,1,1,1,1,4,1,The forest being paired with the boy with the flatter top of his head.,0,0,0,0,0,0,50,73,36,48,33,59,2,4,0,1,1,0,2,1,1,1,1,4
4,9,Female,19,Non-Hispanic/Latino,White/Caucasian,0,0,0,0,0,0,,0,1,1,2,1,0,70,33,20,63,75,29,2,2,1,0,0,1,2,0,1,1,0,2
1,10,Male,18,Non-Hispanic/Latino,Asian,1,1,1,1,4,0,,0,0,1,1,0,0,0,69,0,46,0,0,2,2,1,0,0,1,2,1,0,1,0,2
3,11,Female,18,Hispanic/Latino,White/Caucasian,1,1,1,1,4,0,,0,0,0,0,0,0,55,46,62,73,47,68,1,2,0,0,0,1,1,0,1,1,0,2
